id,name,category_id,description,is_active,subcategory_id,marca,package_size,segment,timac_points
26c7b142-88e6-4a76-bf32-c1e9ff889d3c,GESAPRIM 90 - ATRAZINA 90% WG - 10KG,cat-agroquimicos,SYNGENTA PARAGUAY S.A.,t,,SYNGENTA PARAGUAY S.A.,10.00,,0.00
c7cf53a9-7f3a-4ffa-8ee0-21a0528717a0,RASS 32 - 1L,cat-especialidades,INQUIMA,t,,INQUIMA,1.00,,0.00
0dd27eaf-2905-4593-b8b3-e3df3f46ad5a,TA35 + ZINC - ADJUVANTE - 5LTS,cat-especialidades,INQUIMA,t,,INQUIMA,5.00,,0.00
37e6e467-d925-40b2-aee5-ba4515c9c38f,RIZOIL M - ACEITE METILADA - 10LTS,cat-especialidades,RIZOBACTER,t,,RIZOBACTER,10.00,,0.00
135e89d3-a34c-479e-b759-e4a521d63fde,SEMILLA MAIZ DKB 360 VT3PRO - 60 MIL SEMILLAS,cat-sem-milho,DEKALPAR,t,,DEKALPAR,,,0.00
f843cba9-605b-461f-9830-47a59a7c1bf9,FERT 09-22-20 MOSAIC - BB - KG,cat-fertilizantes,MOSAIC,t,,MOSAIC,,,0.00
9f80b449-bbfa-41bd-92ab-e013577f5ba7,CLARTEX - METALDEIDO - 25KG,cat-agroquimicos,RIZOBACTER,t,,RIZOBACTER,25.00,,0.00
59c6b948-ace4-4671-8fe6-935b10c0b185,FERT 45-00-00 UREA - FERTIPAR - BB - KG,cat-fertilizantes,FERTIPAR FERTILIZANTES,t,,FERTIPAR FERTILIZANTES,,,0.00
dfd25ecd-069d-4501-8a28-7dba3e36faa9,FERT FOST.MON.MAP GR 11-52 - MOSAIC - BB,cat-fertilizantes,MOSAIC,t,,MOSAIC,,,0.00
47631d16-3b27-4880-af5a-7ac543919fe2,SEM. SORGO 1G100- BLS- CORTEVA,cat-sem-milho,CORTEVA,t,,CORTEVA,,,0.00
30eed411-63ba-4276-97ef-c99c2317387c,FERTIACTYL GRAMINEAS - 2LTS,cat-especialidades,TIMAC,t,,TIMAC,2.00,,3.00
a7dfd9fa-bb24-4ab3-bd44-5b6300d3dfff,FERTIACTYL LEGUMINOSAS - 2LTS,cat-especialidades,TIMAC,t,,TIMAC,2.00,,3.00
366be9b7-51e7-41d2-98c3-02801fa01245,PROGEN DETOX - 10LTS,cat-especialidades,TIMAC,t,,TIMAC,10.00,,1.00
09e88507-4db3-4664-9e96-ffe81cb859b4,FERTILEADER 954 - VITAL - 10LTS,cat-especialidades,TIMAC,t,,TIMAC,10.00,,1.00
50e10459-8b27-4916-953f-b46636cada6a,FERTILEADER AXIS NG - 5L,cat-especialidades,TIMAC,t,,TIMAC,5.00,,1.00
4859161e-5b69-42e7-86e3-f9b6779da644,FERTIACTYL GZ - 10LTS,cat-especialidades,TIMAC,t,,TIMAC,10.00,,1.00
81581447-8003-440d-99f6-462d727b1ba1,FERTIACTYL LEGUMINOSAS - 5LTS,cat-especialidades,TIMAC,t,,TIMAC,5.00,,3.00
fe64d721-dff0-4e14-9dbe-f7b4e4c298d2,FERTILEADER GOLD BMO - 10LTS,cat-especialidades,TIMAC,t,,TIMAC,10.00,,1.00
39cef0a8-e6c9-480b-8056-932500a71f55,FULMINANTE 80 WG - FIPRONIL 80- 1 KG.,cat-agroquimicos,CHDS,t,sub-inseticidas,CHDS,1.00,inseticida,0.00
343d96c4-8a5e-4347-9584-8dc64044d4ed,"BALUART - PROTHIOC. 17,5% + TRIFLOXIS. 15% - 5LTS",cat-agroquimicos,UPL,t,sub-tratamento-sementes,UPL,5.00,ts,0.00
67be7dda-3644-483d-b1a3-b9dc1693dfd4,NATIVO - TEBUCO. 20% + TRIFLOXIS. 10% - 5LTS,cat-agroquimicos,BAYER,t,sub-tratamento-sementes,BAYER,5.00,ts,0.00
6f736da4-9b64-461a-9224-4ad47209770d,CYPRESS - CYPROCONAZOLE 15% + DIFENOCONAZOLE 25% -,cat-agroquimicos,SYNGENTA PARAGUAY S.A.,t,sub-fungicidas,SYNGENTA PARAGUAY S.A.,,fungicida,0.00
e692911d-4232-472a-99a5-b6cdb92cc6d8,EXALT - SPINETORAM 12% - 1L,cat-agroquimicos,CORTEVA,t,sub-inseticidas,CORTEVA,1.00,inseticida,0.00
e23ecc35-32e3-4980-8fe1-b5dd9e035d08,WETTER- PICOX. + TEBU. + MACONZ. - 20LTS,cat-agroquimicos,ADAMA,t,sub-tratamento-sementes,ADAMA,20.00,ts,0.00
be59ed75-9809-478c-84e8-4ff2280b8d5e,UTRISHA TM- 5KG.,cat-especialidades,CORTEVA,t,,CORTEVA,5.00,,0.00
ddc798d0-98db-4c51-ad9f-268f21a03774,FERT 08-20-10 FERTIPAR 5% CA + 8% S- BB - KG,cat-fertilizantes,FERTIPAR FERTILIZANTES,t,,FERTIPAR FERTILIZANTES,,,0.00
f0e65f8e-878b-4412-9535-a4da27184252,FERT 20-00-00 - BR FERTIL - BB - KG,cat-fertilizantes,BR FERTIL,t,,BR FERTIL,,,0.00
4f62beb4-dba2-4561-a38d-8f8ae7225fb6,INTREPID - METOXIFENOZIDA 24% - 5LTS,cat-agroquimicos,CORTEVA,t,sub-inseticidas,CORTEVA,5.00,inseticida,0.00
