id,user_id,master_client_id,custom_name,planting_area,cultures,planting_progress,is_top80_20,is_active,created_at,credit_limit,include_in_market_area
64883a26-6907-4649-b763-57a4b4f7eb4d,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,75496311-b4bc-4409-825c-f2bf1e9cb2c2,,,,0.00,f,t,2025-10-31 19:13:32.25257,,f
409828f5-59c6-47df-855c-ac31f2830d78,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,99ed2097-5ee7-464c-913d-14c3f1c118f1,,,,0.00,f,t,2025-10-31 19:13:32.614751,,f
56fb5a50-559a-48c3-ac82-61936a7beaa7,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,08ec611d-8e67-4a04-b1ea-367c0d9aeaf4,,,,0.00,f,t,2025-10-31 19:13:32.993047,,f
39053532-da97-42b4-924c-393c0257b50a,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,1d6ca9b1-f8ee-4c52-b581-4c2263182152,,,,0.00,f,t,2025-10-31 19:13:33.364341,,f
da8d9c08-4903-46ca-835e-8b92437f405e,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,7d88ddd3-6ed2-4bbf-8a01-975320e1230f,,,,0.00,f,t,2025-10-31 19:13:33.738153,,f
a1a8d796-0cf8-4eb0-aafb-4b9444846a3a,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,7b088aba-4c03-407d-9154-d17b0dfaafb9,,,,0.00,f,t,2025-10-31 19:13:34.191566,,f
e3dd06fd-c9b0-4bc4-962c-245018c22776,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,b4cad117-1a08-46c6-82af-92f0f427ef1a,,,,0.00,f,t,2025-10-31 19:13:35.144003,,f
64e96b4f-3b5c-4010-b2ff-c7637997a9c8,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,5ba0665d-9ea8-4e16-97b0-9fbdcd96914b,,,,0.00,f,t,2025-10-31 19:13:35.527214,,f
76846bde-afec-4344-9a30-fcf220eb6d77,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,1b0a4f71-0a18-4a85-95ec-7ce4296515d2,,,,0.00,f,t,2025-10-31 19:13:35.909256,,f
de95dbff-de24-4683-9275-00c9c6d9c784,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,6a116067-ec74-44f5-9705-59e429dbe725,,,,0.00,f,t,2025-10-31 19:13:36.443003,,f
09227b94-ceba-411b-a4ac-13020f45c8c8,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,d1432eab-306f-4939-90bf-976cd0d19062,,,,0.00,f,t,2025-10-31 19:13:36.822733,,f
a684d52c-9ece-4dbd-9bd4-842a06830ec7,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,6d95104d-d762-43ed-b7e2-7676acd2c169,,,,0.00,f,t,2025-10-31 19:13:37.195319,,f
ca4c8945-10d6-475b-a5ca-160d734df176,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,92ef9f65-df02-49cd-b543-26250f5511b4,,,,0.00,f,t,2025-10-31 19:13:37.884034,,f
ecd28a3c-8c5b-4edc-b7d9-f7b19f13c6f9,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,4cc1e75f-3426-4a30-92d2-2fca20e50d9a,,,,0.00,f,t,2025-10-31 19:13:38.248532,,f
7ba4a412-ee2a-48cc-8eab-fefb18c93226,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,ff47c4ab-ce50-48e6-be67-1f9fa18c4cd8,,,,0.00,f,t,2025-10-31 19:13:38.941335,,f
638a694d-4b34-4529-8d4d-6f4387fb0698,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,b0397c8f-ac4b-47cb-835b-0a51530aec8c,,,,0.00,f,t,2025-10-31 19:13:39.469888,,f
d9997863-973c-4e45-bd1e-b88d6a383ec7,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,ebd593d7-591f-44ea-854d-f1cc548fc7c7,,,,0.00,f,t,2025-10-31 19:13:39.851501,,f
dca9061a-53d9-4db0-b5d9-05ac161d1f52,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,42720220-6fb3-402b-9414-f1f14fe7c95e,,,,0.00,f,t,2025-10-31 19:13:40.220499,,f
932eae29-4010-4ae2-a8d3-9f0ccc508b38,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,6ecb63cd-717d-4741-b17d-5219c2aff5a2,,,,0.00,f,t,2025-10-31 19:13:40.582715,,f
20968c1c-97eb-4fb7-bd1e-c873dd34c3dc,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,290116d5-94d5-426b-a848-6ae17a6ffdc5,,,,0.00,f,t,2025-10-31 19:13:41.111479,,f
084c2f62-ed59-4ab7-8275-a09520940e19,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,6e50170e-d281-4c22-b718-aadf2a657c89,,,,0.00,f,t,2025-10-31 19:13:41.708433,,f
